ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000",,
,,,,,,,,,,,,,,,,,,,,,,"0.754911000","0.754911000",,
,,,,,,,,,,,,,,,,,,,,,,"1.096345000","0.341434000",,
,,,,,,,,,,,,,,,,,,,,,,"1.106258000","0.009913000",,
,,,,,,,,,,,,,,,,,,,,,,"2.974673000","1.868415000",,
,,,,,,,,,,,,,,,,,,,,,,"5.143926000","2.169253000",,
,,,,,,,,,,,,,,,,,,,,,,"7.288484000","2.144558000",,
,,,,,,,,,,,,,,,,,,,,,,"9.398571000","2.110087000",,
,,,,,,,,,,,,,,,,,,,,,,"11.504242000","2.105671000",,
,,,,,,,,,,,,,,,,,,,,,,"13.631803000","2.127561000",,
,,,,,,,,,,,,,,,,,,,,,,"15.779491000","2.147688000",,
,,,,,,,,,,,,,,,,,,,,,,"18.008006000","2.228515000",,
,,,,,,,,,,,,,,,,,,,,,,"20.173604000","2.165598000",,
,,,,,,,,,,,,,,,,,,,,,,"22.264051000","2.090447000",,
,,,,,,,,,,,,,,,,,,,,,,"24.369031000","2.104980000",,
,,,,,,,,,,,,,,,,,,,,,,"26.489915000","2.120884000",,
,,,,,,,,,,,,,,,,,,,,,,"28.602223000","2.112308000",,
,,,,,,,,,,,,,,,,,,,,,,"30.723395000","2.121172000",,
,,,,,,,,,,,,,,,,,,,,,,"32.568134000","1.844739000",,
,,,,,,,,,,,,,,,,,,,,,,"32.579173000","0.011039000",,
,,,,,,,,,,,,,,,,,,,,,,"32.979152000","0.399979000",,
,,,,,,,,,,,,,,,,,,,,,,"35.094721000","2.115569000",,
,,,,,,,,,,,,,,,,,,,,,,"37.265240000","2.170519000",,
,,,,,,,,,,,,,,,,,,,,,,"39.385071000","2.119831000",,
,,,,,,,,,,,,,,,,,,,,,,"41.585833000","2.200762000",,
"172.168.1.0","192.168.1.3","328","0","0",,,,"128","17",,,,,,,,,,,,"68","41.752474000","0.166641000",,
,,,,,,,,,,,,,,,,,,,,,,"41.862436000","0.109962000",,
,,,,,,,,,,,,,,,,,,,,,,"41.875031000","0.012595000",,
,,,,,,,,,,,,,,,,,,,,,,"42.098401000","0.223370000",,
,,,,,,,,,,,,,,,,,,,,,,"42.120073000","0.021672000",,
,,,,,,,,,,,,,,,,,,,,,,"42.162263000","0.042190000",,
,,,,,,,,,,,,,,,,,,,,,,"42.168147000","0.005884000",,
,,,,,,,,,,,,,,,,,,,,,"5353","42.174538000","0.006391000",,
,,,,,,,,,,,,,,,,,,,,,"5353","42.178904000","0.004366000",,
,,,,,,,,,,,,,,,,,,,,,"54482","42.181415000","0.002511000",,
,,,,,,,,,,,,,,,,,,,,,,"42.328619000","0.147204000",,
,,,,,,,,,,,,,,,,,,,,,,"42.337127000","0.008508000",,
,,,,,,,,,,,,,,,,,,,,,,"42.621323000","0.284196000",,
,,,,,,,,,,,,,,,,,,,,,,"44.040273000","1.418950000",,
,,,,,,,,,,,,,,,,,,,,,,"46.223624000","2.183351000",,
,,,,,,,,,,,,,,,,,,,,,,"48.192072000","1.968448000",,
,,,,,,,,,,,,,,,,,,,,,,"48.202433000","0.010361000",,
"0.0.0.0","255.255.255.255","328","0","0",,,,"128","17",,,,,,,,,,,,"68","48.347338000","0.144905000",,
"192.168.1.1","192.168.1.2","328","0","0",,,,"255","17",,,,,,,,,,,,"67","48.383834000","0.036496000",,
"192.168.1.3","255.255.255.255","568","0","0",,,,"64","17",,,,,,,,,,,,"67","48.386710000","0.002876000",,
"0.0.0.0","255.255.255.255","348","0","0",,,,"128","17",,,,,,,,,,,,"68","48.390944000","0.004234000",,
"192.168.1.1","192.168.1.2","328","0","0",,,,"255","17",,,,,,,,,,,,"67","48.410051000","0.019107000",,
"192.168.1.1","255.255.255.255","568","0","0",,,,"64","17",,,,,,,,,,,,"67","48.417615000","0.007564000",,
,,,,,,,,,,,,,,,,,,,,,,"48.457848000","0.040233000",,
"192.168.1.2","224.0.0.22","40","0","0",,,,"1","2",,,,,,,,,,,,,"48.473519000","0.015671000",,
"192.168.1.2","192.168.1.255","96","0","0",,,,"128","17",,,,,,,,,,,,"137","48.502856000","0.029337000",,
,,,,,,,,,,,,,,,,,,,,,,"48.536099000","0.033243000",,
,,,,,,,,,,,,,,,,,,,,,,"48.563928000","0.027829000",,
,,,,,,,,,,,,,,,,,,,,,,"48.599951000","0.036023000",,
"192.168.1.2","224.0.0.22","40","0","0",,,,"1","2",,,,,,,,,,,,,"48.600652000","0.000701000",,
"192.168.1.2","192.168.1.255","96","0","0",,,,"128","17",,,,,,,,,,,,"137","48.610033000","0.009381000",,
"192.168.1.2","192.168.1.255","96","0","0",,,,"128","17",,,,,,,,,,,,"137","48.612099000","0.002066000",,
,,,,,,,,,,,,,,,,,,,,,,"48.620334000","0.008235000",,
,,,,,,,,,,,,,,,,,,,,,,"48.621334000","0.001000000",,
"192.168.1.2","224.0.0.22","48","0","0",,,,"1","2",,,,,,,,,,,,,"48.621499000","0.000165000",,
,,,,,,,,,,,,,,,,,,,,,,"48.621644000","0.000145000",,
,,,,,,,,,,,,,,,,,,,,,,"48.622631000","0.000987000",,
"192.168.1.2","224.0.0.22","40","0","0",,,,"1","2",,,,,,,,,,,,,"48.626777000","0.004146000",,
,,,,,,,,,,,,,,,,,,,,,,"48.642954000","0.016177000",,
"192.168.1.2","224.0.0.22","40","0","0",,,,"1","2",,,,,,,,,,,,,"48.646899000","0.003945000",,
,,,,,,,,,,,,,,,,,,,,,,"48.674899000","0.028000000",,
,,,,,,,,,,,,,,,,,,,,,,"48.693440000","0.018541000",,
,,,,,,,,,,,,,,,,,,,,,,"48.695836000","0.002396000",,
"192.168.1.2","224.0.0.22","40","0","0",,,,"1","2",,,,,,,,,,,,,"48.700158000","0.004322000",,
,,,,,,,,,,,,,,,,,,,,,,"48.703826000","0.003668000",,
"192.168.1.2","224.0.0.22","40","0","0",,,,"1","2",,,,,,,,,,,,,"48.705255000","0.001429000",,
,,,,,,,,,,,,,,,,,,,,,,"48.707592000","0.002337000",,
"192.168.1.2","224.0.0.22","40","0","0",,,,"1","2",,,,,,,,,,,,,"48.709180000","0.001588000",,
,,,,,,,,,,,,,,,,,,,,,,"48.768615000","0.059435000",,
"192.168.1.2","224.0.0.251","63","0","0",,,,"1","17",,,,,,,,,,,,"5353","48.801830000","0.033215000",,
"192.168.1.2","224.0.0.251","101","0","0",,,,"1","17",,,,,,,,,,,,"5353","48.802465000","0.000635000",,
,,,,,,,,,,,,,,,,,,,,,"5353","48.805016000","0.002551000",,
,,,,,,,,,,,,,,,,,,,,,"5353","48.808989000","0.003973000",,
,,,,,,,,,,,,,,,,,,,,,"60702","48.810210000","0.001221000",,
"192.168.1.2","224.0.0.252","57","0","0",,,,"1","17",,,,,,,,,,,,"60702","48.813025000","0.002815000",,
,,,,,,,,,,,,,,,,,,,,,,"48.857217000","0.044192000",,
"192.168.1.2","192.168.1.1","69","0","0",,,,"128","17",,,,,,,,,,,,"49459","48.929005000","0.071788000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"49459","48.948863000","0.019858000",,
"192.168.1.2","192.168.1.1","69","0","0",,,,"128","17",,,,,,,,,,,,"49459","48.997131000","0.048268000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"49459","49.016408000","0.019277000",,
"192.168.1.2","192.168.1.1","69","0","0",,,,"128","17",,,,,,,,,,,,"49459","49.030321000","0.013913000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"49459","49.046989000","0.016668000",,
"192.168.1.2","192.168.1.1","69","0","0",,,,"128","17",,,,,,,,,,,,"49459","49.053219000","0.006230000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"49459","49.075843000","0.022624000",,
"192.168.1.2","192.168.1.1","69","0","0",,,,"128","17",,,,,,,,,,,,"49459","49.096566000","0.020723000",,
"192.168.1.2","224.0.0.22","56","0","0",,,,"1","2",,,,,,,,,,,,,"49.103393000","0.006827000",,
,,,,,,,,,,,,,,,,,,,,,,"49.104610000","0.001217000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"49459","49.127357000","0.022747000",,
,,,,,,,,,,,,,,,,,,,,,,"49.132637000","0.005280000",,
,,,,,,,,,,,,,,,,,,,,,,"49.155721000","0.023084000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"56430","49.185625000","0.029904000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"56430","49.205188000","0.019563000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"56430","49.208646000","0.003458000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"56430","49.231326000","0.022680000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"56430","49.244149000","0.012823000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"56430","49.270812000","0.026663000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"56430","49.273293000","0.002481000",,
"192.168.1.2","192.168.1.255","96","0","0",,,,"128","17",,,,,,,,,,,,"137","49.275288000","0.001995000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"59000","49.292830000","0.017542000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"56430","49.303979000","0.011149000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"56430","49.315355000","0.011376000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"59000","49.337405000","0.022050000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"56430","49.339049000","0.001644000",,
,,,,,,,,,,,,,,,,,,,,,,"49.341726000","0.002677000",,
"192.168.1.2","192.168.1.255","96","0","0",,,,"128","17",,,,,,,,,,,,"137","49.354573000","0.012847000",,
"192.168.1.2","192.168.1.255","96","0","0",,,,"128","17",,,,,,,,,,,,"137","49.355274000","0.000701000",,
,,,,,,,,,,,,,,,,,,,,,,"49.375243000","0.019969000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"59000","49.375655000","0.000412000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"59000","49.400215000","0.024560000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"59000","49.424478000","0.024263000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"59000","49.450717000","0.026239000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"59000","49.470867000","0.020150000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"59000","49.491884000","0.021017000",,
,,,,,,,,,,,,,,,,,,,,,,"49.507480000","0.015596000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"59000","49.569098000","0.061618000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"59000","49.584132000","0.015034000",,
,,,,,,,,,,,,,,,,,,,,,,"49.604282000","0.020150000",,
"192.168.1.2","192.168.1.255","96","0","0",,,,"128","17",,,,,,,,,,,,"137","50.042028000","0.437746000",,
"192.168.1.2","192.168.1.255","96","0","0",,,,"128","17",,,,,,,,,,,,"137","50.134580000","0.092552000",,
"192.168.1.2","192.168.1.255","96","0","0",,,,"128","17",,,,,,,,,,,,"137","50.142287000","0.007707000",,
"192.168.1.2","192.168.1.1","77","0","0",,,,"128","17",,,,,,,,,,,,"61127","50.600411000","0.458124000",,
,,,,,,,,,,,,,,,,,,,,,,"50.611530000","0.011119000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"60600","50.624718000","0.013188000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"61127","50.627403000","0.002685000",,
"192.168.1.2","192.168.1.1","77","0","0",,,,"128","17",,,,,,,,,,,,"61127","50.627761000","0.000358000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"60600","50.658183000","0.030422000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"60600","50.658593000","0.000410000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"61127","50.660790000","0.002197000",,
"192.168.1.2","192.168.1.1","77","0","0",,,,"128","17",,,,,,,,,,,,"61127","50.661128000","0.000338000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"60600","50.676044000","0.014916000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"60600","50.676441000","0.000397000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"61127","50.678990000","0.002549000",,
"192.168.1.2","192.168.1.1","77","0","0",,,,"128","17",,,,,,,,,,,,"61127","50.679312000","0.000322000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"60600","50.694169000","0.014857000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"60600","50.694646000","0.000477000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"61127","50.706524000","0.011878000",,
"192.168.1.2","192.168.1.1","77","0","0",,,,"128","17",,,,,,,,,,,,"61127","50.706955000","0.000431000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"60600","50.708258000","0.001303000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"60600","50.708551000","0.000293000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"61127","50.721850000","0.013299000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"60600","50.728350000","0.006500000",,
"192.168.1.2","192.168.1.255","96","0","0",,,,"128","17",,,,,,,,,,,,"137","50.793548000","0.065198000",,
"192.168.1.2","192.168.1.255","96","0","0",,,,"128","17",,,,,,,,,,,,"137","50.900785000","0.107237000",,
"192.168.1.2","192.168.1.255","96","0","0",,,,"128","17",,,,,,,,,,,,"137","50.901417000","0.000632000",,
"192.168.1.2","192.168.1.1","77","0","0",,,,"128","17",,,,,,,,,,,,"56572","51.285704000","0.384287000",,
"192.168.1.2","239.255.255.250","165","0","0",,,,"4","17",,,,,,,,,,,"1","60705","51.294201000","0.008497000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"56572","51.307158000","0.012957000",,
"192.168.1.2","192.168.1.1","77","0","0",,,,"128","17",,,,,,,,,,,,"56572","51.307608000","0.000450000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"56572","51.328701000","0.021093000",,
"192.168.1.2","192.168.1.1","77","0","0",,,,"128","17",,,,,,,,,,,,"56572","51.329199000","0.000498000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"56572","51.359432000","0.030233000",,
"192.168.1.2","192.168.1.1","77","0","0",,,,"128","17",,,,,,,,,,,,"56572","51.359908000","0.000476000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"56572","51.373765000","0.013857000",,
"192.168.1.2","192.168.1.1","77","0","0",,,,"128","17",,,,,,,,,,,,"56572","51.374219000","0.000454000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"56572","51.387230000","0.013011000",,
,,,,,,,,,,,,,,,,,,,,,,"51.619682000","0.232452000",,
,,,,,,,,,,,,,,,,,,,,,,"52.010987000","0.391305000",,
"192.168.1.2","239.255.255.250","165","0","0",,,,"4","17",,,,,,,,,,,"1","60705","52.160836000","0.149849000",,
"192.168.1.2","239.255.255.250","165","0","0",,,,"4","17",,,,,,,,,,,"1","60705","52.200771000","0.039935000",,
"192.168.1.2","239.255.255.250","165","0","0",,,,"4","17",,,,,,,,,,,"1","60705","52.442348000","0.241577000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"58414","52.450211000","0.007863000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"58414","52.466805000","0.016594000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"58414","52.475554000","0.008749000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"58414","52.496089000","0.020535000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"58414","52.497533000","0.001444000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"58414","52.510516000","0.012983000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"58414","52.544372000","0.033856000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"58414","52.564686000","0.020314000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"58414","52.590506000","0.025820000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"58414","52.614851000","0.024345000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"60100","53.652564000","1.037713000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"60100","53.661150000","0.008586000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"60100","53.662044000","0.000894000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"60100","53.682935000","0.020891000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"60100","53.683387000","0.000452000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"60100","53.705191000","0.021804000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"60100","53.705707000","0.000516000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"60100","53.728032000","0.022325000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"60100","53.728505000","0.000473000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"60100","53.740619000","0.012114000",,
,,,,,,,,,,,,,,,,,,,,,,"54.423917000","0.683298000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"51343","54.745445000","0.321528000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"51343","54.762474000","0.017029000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"51343","54.762896000","0.000422000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"51343","54.782387000","0.019491000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"51343","54.782845000","0.000458000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"51343","54.804800000","0.021955000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"51343","54.805444000","0.000644000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"51343","54.824465000","0.019021000",,
"192.168.1.2","192.168.1.1","62","0","0",,,,"128","17",,,,,,,,,,,,"51343","54.824801000","0.000336000",,
"192.168.1.1","192.168.1.2","56","0","0",,,,"255","1",,,,,,,,,,,,"51343","54.845270000","0.020469000",,
,,,,,,,,,,,,,,,,,,,,,,"55.134679000","0.289409000",,
,,,,,,,,,,,,,,,,,,,,,,"55.163267000","0.028588000",,
"192.168.1.2","239.255.255.250","165","0","0",,,,"4","17",,,,,,,,,,,"1","60705","55.212877000","0.049610000",,
"192.168.1.2","239.255.255.250","165","0","0",,,,"4","17",,,,,,,,,,,"1","60705","55.243776000","0.030899000",,
